"scenario","model","Mutation_Rates1","Mutation_Rates2","Mutation_Rates3","Mutation_Rates4","Mutation_Rates5","W.T.Parameters1","W.T.Parameters2","W.T.Parameters3","W.T.Parameters4","W.T.Parameters5","Sexual_Effects1","Sexual_Effects2","Sexual_Effects3","Sexual_Effects4","Sexual_Effects5","Costs1","Costs2","Costs3","Costs4","Costs5","Efficacies1","Efficacies2","Efficacies3","Efficacies4","Efficacies5","Control_Effects1","Control_Effects2","Control_Effects3","Control_Effects4","Control_Effects5","Fungicide_1","Fungicide_2","Fungicide_3","Fungicide_4","Fungicide_5","Num_fung","Lethality","Selfishness","Fecundity_Inhibition","Infection_Inhibition","Growth_Inhibition","Sex_Inhibition","Survival_Inhibition","Inoculum","GeneDrive_1","GeneDrive_2","GeneDrive_3","GeneDrive_4","GeneDrive_5","Num_drive","Infection_Yield","Number_of_Generations","pre_yield","peak_yield","yield_40","yield_50","mean_21_40","mean_41_50","mean_21_50","Freq20_A","Freq20_B","Freq20_C","Freq20_D","Freq20_E","Freq20_F","Freq40_A","Freq40_B","Freq40_C","Freq40_D","Freq40_E","Freq40_F","Freq50_A","Freq50_B","Freq50_C","Freq50_D","Freq50_E","Freq50_F"
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,11,0.563082417404785,0.638934123646955,0.702526390479405,0.702338894156493,0.594698177499661,0.597020527787171,0.595472294262164,0.862042846023193,0.979252364156196,0.976897474450731,0.805240251462646,0.868030396174271,1,0.821016087798087,0.979252196468321,0.976896981249852,0.681615229027285,0.82842986874271,1,0.81305502543601,0.979252196467576,0.97689698124375,0.640119490023685,0.820726560737058,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,12,0.60167034619477,0.736475306025871,0.735197129186676,0.735045617540876,0.6123325741701,0.61222613512966,0.612297094489953,0.853238401315276,0.979368052521213,0.977170943180925,0.793871921130721,0.859545817229243,1,0.810620715718994,0.97936798963585,0.977170759357226,0.6680149743314,0.818369830356498,1,0.802483704665006,0.97936798963575,0.97717075935641,0.627074778538141,0.81048793336561,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,13,0.622164414737578,0.764309488338119,0.76105972558419,0.760929468991826,0.625309076724907,0.6252132538808,0.625277135776871,0.844664415831281,0.979466726669998,0.977401403818896,0.782927427568451,0.851276089261999,1,0.800636562688895,0.979466703068645,0.977401335187025,0.655435569651472,0.80869780136015,1,0.792370543639915,0.979466703068632,0.977401335186916,0.615248398254741,0.800682810472681,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,14,0.636509453250524,0.78806330445059,0.782259374522969,0.78214384517938,0.636518908390346,0.636432188910341,0.636490001897011,0.836315592196494,0.979551760632524,0.977597972357479,0.772390986118469,0.84321666320483,1,0.791049571688829,0.979551751769168,0.977597946698014,0.643800432995218,0.79940133424801,1,0.782698059877976,0.979551751769166,0.977597946698,0.604526609288831,0.791295562929704,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,15,0.646948459352508,0.823560345251971,0.799977172145514,0.799946897401018,0.646336380479401,0.646223706513477,0.64629882249076,0.828186705331255,0.979625701630598,0.977767385222712,0.762247398741156,0.835363029044484,1,0.781845839279557,0.979625698300296,0.97776737561866,0.633038721009707,0.7904680338041,1,0.773448953846427,0.979625698300295,0.977767375618658,0.594806281622336,0.782310618296027,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,16,0.655160574937587,0.83414499254895,0.812764962668023,0.816399684996278,0.654984865097751,0.654975317245902,0.654981682480468,0.820272604183271,0.979690504447544,0.977914716630841,0.752482032304449,0.827710718782086,1,0.773011646989404,0.979690503195686,0.977914713032846,0.623084899880991,0.781885593140891,1,0.764606165552646,0.979690503195686,0.977914713032846,0.5859939069209,0.773712523435213,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,17,0.662472636469565,0.848071624516199,0.853044915221505,0.795385704326804,0.661673752842938,0.658742711738955,0.66069673914161,0.812568213282387,0.97974769246535,0.978043856763632,0.743080797670516,0.820255309190698,1,0.764533489558189,0.97974769199461,0.978043855414672,0.613878348185859,0.773641826620496,1,0.756152924835799,0.97974769199461,0.978043855414672,0.578004702116744,0.765486000956417,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,18,0.662813040536085,0.891784220102367,0.890251394245498,0.754780700200564,0.661394791790758,0.655914717453575,0.65956810034503,0.805068534123765,0.979798469762448,0.978157836202092,0.734030129550433,0.812992424375252,1,0.756398100106141,0.97979846958538,0.978157835696014,0.605362989335741,0.765724699688125,1,0.748072795489176,0.97979846958538,0.978157835696014,0.570761796283977,0.757615999531913,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,19,0.662037470966696,0.910770386791726,0.908252463958539,0.733759359113352,0.662272694026528,0.655081053662174,0.659875480571743,0.797768646385666,0.979843800347145,0.97825905020215,0.72531696709922,0.805917738139958,1,0.748592472318398,0.979843800280524,0.978259050012186,0.597486951424398,0.75812235567441,1,0.740349713407243,0.979843800280525,0.978259050012186,0.56419549310701,0.750087738217132,1
1,1,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.05,0.05,0.05,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,20,NA,NA,NA,NA,NA,50,0,0,0,0,0,0,0.1,20,0.663019159789317,0.927090656878078,0.918224573151808,0.724744820355735,0.662584355351086,0.655292816139367,0.660153842280513,0.790663708988005,0.979884465060433,0.978349416634516,0.716928735224374,0.799026976168487,1,0.741103879754029,0.979884465035361,0.978349416563176,0.590202252450308,0.750823139646295,1,0.732968019005114,0.979884465035362,0.978349416563176,0.558242601947145,0.742886744963232,1
