"scenario","model","Mutation_Rates1","Mutation_Rates2","Mutation_Rates3","Mutation_Rates4","Mutation_Rates5","W.T.Parameters1","W.T.Parameters2","W.T.Parameters3","W.T.Parameters4","W.T.Parameters5","Sexual_Effects1","Sexual_Effects2","Sexual_Effects3","Sexual_Effects4","Sexual_Effects5","Costs1","Costs2","Costs3","Costs4","Costs5","Efficacies1","Efficacies2","Efficacies3","Efficacies4","Efficacies5","Control_Effects1","Control_Effects2","Control_Effects3","Control_Effects4","Control_Effects5","Fungicide_1","Fungicide_2","Fungicide_3","Fungicide_4","Fungicide_5","Num_fung","Lethality","Selfishness","Fecundity_Inhibition","Infection_Inhibition","Growth_Inhibition","Sex_Inhibition","Survival_Inhibition","Inoculum","GeneDrive_1","GeneDrive_2","GeneDrive_3","GeneDrive_4","GeneDrive_5","Num_drive","Infection_Yield","Number_of_Generations","pre_yield","peak_yield","yield_40","yield_50","mean_21_40","mean_41_50","mean_21_50","Freq20_A","Freq20_B","Freq20_C","Freq20_D","Freq20_E","Freq20_F","Freq40_A","Freq40_B","Freq40_C","Freq40_D","Freq40_E","Freq40_F","Freq50_A","Freq50_B","Freq50_C","Freq50_D","Freq50_E","Freq50_F"
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.858921951778139,0.741268601311934,0.861934821826632,0.869440058361415,0.864436567338226,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.894628608381473,0.982899101965109,0.178483458006863,0.795985505878314,0.89936696142754,0.0148106383277439,0.888138493166398,0.980260766547717,0.144184547842715,0.757361280887754,0.893133857213756,0.000306362467811906
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.1,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.860116992303491,0.743338190939946,0.862341375616361,0.870680527491895,0.865121092908205,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.894614176023802,0.982897818398442,0.178483392190972,0.795653707675445,0.899353104874887,0.0154669880982942,0.888130044135018,0.98026004704478,0.144184518600089,0.756740772507221,0.89312574006424,0.000333124978463553
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.2,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.863693422923192,0.749696168369945,0.863540815317134,0.874437273992669,0.867172968208979,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.894571014045632,0.982893979394267,0.178483195365224,0.794657293409821,0.89931166480845,0.0176039256439643,0.888104737068206,0.980257891862599,0.144184431015478,0.754855776328475,0.89310142702655,0.00042842933641431
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.3,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.869593073964959,0.760790994353994,0.865467774195778,0.880801550048819,0.870579032813458,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.894499605717909,0.982887627020783,0.178482869750095,0.792997350660771,0.899243104891378,0.0217858294823279,0.888062714594584,0.98025431290632,0.144184285596272,0.751636900182973,0.893061054994954,0.000652226111732202
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.4,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.877609396779394,0.777340992842698,0.867998801418997,0.889858375371476,0.875285326069823,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.894401054840311,0.982878858105358,0.178482420403571,0.790691771994633,0.899148484394161,0.0291697029951631,0.888004301453011,0.980249337453394,0.144184083487641,0.746975366919519,0.893004935736553,0.00117552888797912
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.5,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.88722928591127,0.800118280523991,0.870936359876604,0.901514968003097,0.881129229252101,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.89427767161836,0.98286787670051,0.17848185788702,0.787807114564276,0.899030020807578,0.0418542736239853,0.887930190582481,0.980243024059281,0.144183827113347,0.740750983217606,0.89293373468451,0.00250032379863147
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.6,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.897479067995157,0.829075482578162,0.874002815499494,0.915114415310754,0.887706682103247,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.894134031442174,0.98285508885074,0.178481203084018,0.784514640281547,0.898892106587727,0.0632819411752343,0.887841889458306,0.980235500679663,0.144183521714081,0.7329353224223,0.892848899785407,0.00619358377566034
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.7,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.906935818741218,0.861125435476597,0.87686553044609,0.928842414503276,0.894191158465152,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.893978401056816,0.9828412301004,0.178480493691819,0.781157749339738,0.898742678729376,0.098163643415912,0.887742882683397,0.980227063865001,0.144183179358393,0.723931908298761,0.89275377856079,0.0171810187616022
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.8,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.914080141025996,0.887953678996008,0.87920714058906,0.939582842652915,0.899332374610345,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.893823336477658,0.982827418801134,0.178479786939468,0.778255090056017,0.898593793051766,0.150770678549241,0.887641324337929,0.980218408305233,0.144182828238225,0.715408015042755,0.892656205050441,0.0485427796956092
1,8,0.001,0.001,0.001,0.001,0.001,1.3,0.9,1.5,0.4,0.9,0.909090909090909,1,1,1,1.1,0.05,0.2,0.2,0.05,0.05,NA,0.01,0.01,NA,NA,NA,0.2,0.2,NA,NA,0,1,1,0,0,2,0.85,10,NA,0,NA,NA,NA,50,0,1,0,0,0,1,0.1,5,0.559458157253575,0.725354659723613,0.916436298694568,0.896153133985253,0.880111010650319,0.942848433501333,0.90102348493399,0.926075865822146,0.995072146815174,0.993592317398699,0.892157182132151,0.929490083621898,0.924218001179519,0.893750538900537,0.982820933817995,0.178479455161623,0.777143411127021,0.898523896010584,0.184026350026568,0.887594087508139,0.980214381855637,0.144182664938999,0.712363450399629,0.892610821449085,0.0782145924488852
